Agent1_Path,Agent2_Path,Max_Total_Payoff
"1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,10,11,13,16,17,18",2820.282
"1, 4, 5, 9,11,13,16,17,18","10, 2, 3, 6, 7, 8,12,14,15,19,20",2862.682
"1, 4, 5, 9,10,11,13,18","15, 2, 3, 6, 7, 8,12,14,16,17,19,20",2846.782
"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",2841.482
"5, 6, 7, 9,10,11,13,16,17,18","1, 2, 3, 4, 8,12,14,15,19,20",2820.282
"5, 6, 7, 9,11,13,16,17,18","10, 1, 2, 3, 4, 8,12,14,15,19,20",2835.082
"5, 6, 7, 9,10,11,13,16,17,18","15, 1, 2, 3, 4, 8,12,14,19,20",2825.842
"5, 6, 7, 9,10,11,13,16,17,18","20, 1, 2, 3, 4, 8,12,14,15,19",2820.282
"10, 2, 3, 6, 7, 8,12,14,15,19,20","1, 4, 5, 9,11,13,16,17,18",2862.682
"10, 1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,11,13,16,17,18",2835.082
"10, 2, 3, 6, 7, 8,12,16,17,18,19","15, 1, 4, 5, 9,11,13,14,20",2852.682
"10, 2, 3, 6, 7, 8,12,14,15,19","20, 1, 4, 5, 9,11,13,16,17,18",2848.446
"15, 2, 3, 6, 7, 8,12,14,16,17,19,20","1, 4, 5, 9,10,11,13,18",2846.782
"15, 1, 2, 3, 4, 8,12,14,16,17,19,20","5, 6, 7, 9,10,11,13,18",2828.982
"15, 1, 4, 5, 6, 7, 9,11,13,14,20","10, 2, 3, 8,12,16,17,18,19",2851.082
"15, 2, 3, 6, 7, 8,12,14,16,17","20, 1, 4, 5, 9,10,11,13,18,19",2823.202
"20, 2, 3, 6, 7, 8,12,14,15,19","1, 4, 5, 9,10,11,13,16,17,18",2841.482
"20, 1, 2, 3, 4, 8,12,14,15,19","5, 6, 7, 9,10,11,13,16,17,18",2820.282
"20, 1, 4, 5, 9,11,13,16,17,18","10, 2, 3, 6, 7, 8,12,14,15,19",2848.446
"20, 2, 3, 6, 7, 8,12,16,17,18,19","15, 1, 4, 5, 9,10,11,13,14",2823.882
