Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
11,1,1,5,"1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,97,150,217,271,295,318,366,415.2,447.59,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
11,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
11,3,1,15,"1, 4, 5, 6, 7,10,12,16,17,18","15, 2, 3, 8, 9,11,13,14,19,20",1500,1500,65.86,95.498,1434.14,1404.502,3000,2838.642,1419.321,10,10,"0,21,63,97,114,141,206,228.4,255.2,281.3,329.3","0,75,128,170,248,268.5,306.7,375.7,428.1,460.49,477.49"
11,4,1,20,"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,273,321,370.2,402.59"
11,5,5,1,"5, 6, 7,10,12,16,17,18","1, 2, 3, 4, 8, 9,11,13,14,15,19,20",1200,1800,46.06,137.058,1153.94,1662.942,3000,2816.882,1408.441,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,97,150,217,271,349,369.5,407.7,476.7,524.7,573.9,606.29,685.29"
11,6,5,10,"5, 9,11,13,16,17,18","10, 1, 2, 3, 4, 6, 7, 8,12,14,15,19,20",1050,1950,36.96,130.758,1013.04,1819.242,3000,2832.282,1416.141,7,13,"0,12,32.5,70.7,119.9,146.7,172.8,184.8","0,85,182,235,302,374,391,451,475,498,546,595.2,627.59,653.79"
11,7,5,15,"5, 6, 7, 9,10,11,13,16,17,18","15, 1, 2, 3, 4, 8,12,14,19,20",1500,1500,74.4,99.758,1425.6,1400.242,3000,2825.842,1412.921,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,449.4,481.79,498.79"
11,8,5,20,"5, 6, 7, 9,10,11,13,16,17,18","20, 1, 2, 3, 4, 8,12,14,15,19",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,445,494.2,526.59"
11,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
11,10,10,5,"10,12,14,15,19,20","5, 1, 2, 3, 4, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,133.16,851.242,1966.84,3000,2818.082,1409.041,6,14,"0,65,88,136,185.2,217.59,243.79","0,49,146,199,266,338,355,415,493,513.5,551.7,600.9,627.7,653.8,665.8"
11,11,10,15,"10,11,13,16,17,18,19","15, 1, 2, 3, 4, 5, 6, 7, 8, 9,12,14,20",1050,1950,59.38,132.718,990.62,1817.282,3000,2807.902,1403.951,7,13,"0,59.6,97.8,147,173.8,199.9,286.9,296.9","0,79,176,229,296,338,372,389,449,527,582,605,646.59,663.59"
11,12,10,20,"10, 2, 3, 6, 7, 8,12,14,15,19","20, 1, 4, 5, 9,11,13,16,17,18",1500,1500,70.84,80.714,1429.16,1419.286,3000,2848.446,1424.223,10,10,"0,32,85,123,140,200,224,247,295,344.2,354.2","0,79,100,142,154,174.5,212.7,261.9,288.7,314.8,403.57"
11,13,15,1,"15, 2, 3, 6, 7, 8,12,14,16,17,19,20","1, 4, 5, 9,10,11,13,18",1800,1200,90.958,62.26,1709.042,1137.74,3000,2846.782,1423.391,12,8,"0,75,128,166,183,243,267,290,317.5,344.3,405.4,437.79,454.79","0,21,63,75,142.1,201.7,239.9,263.3,311.3"
