Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,1,1,2,"1, 4, 5, 9,10,11,13,16,17,18","2, 3, 6, 7, 8,12,14,15,19,20",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,53,91,108,168,192,215,263,312.2,344.59,402.59"
1,2,1,3,"1, 2, 6, 7, 8,12,16,17,18","3, 4, 5, 9,10,11,13,14,15,19,20",1350,1650,70.06,102.498,1279.94,1547.502,3000,2827.442,1413.721,9,11,"0,97,126,143,203,227,249.4,276.2,302.3,350.3","0,67,109,121,188.1,247.7,285.9,354.9,402.9,452.1,484.49,512.49"
1,3,1,4,"1, 2, 3,10,12,14,15,19,20","4, 5, 6, 7, 8, 9,11,13,16,17,18",1350,1650,95.558,85.76,1254.442,1564.24,3000,2818.682,1409.341,9,11,"0,97,150,181.2,246.2,269.2,317.2,366.4,398.79,477.79","0,42,76,93,153,231,251.5,289.7,338.9,365.7,391.8,428.8"
1,4,1,5,"1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,97,150,217,271,295,318,366,415.2,447.59,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
1,5,1,6,"1, 2, 3, 4, 5, 9,12,14,15,19,20","6, 7, 8,10,11,13,16,17,18",1650,1350,111.518,79.08,1538.482,1270.92,3000,2809.402,1404.701,11,9,"0,97,150,217,259,271,326,349,397,446.2,478.59,557.59","0,17,77,149.5,209.1,247.3,296.5,323.3,349.4,395.4"
1,6,1,7,"1, 2, 3, 4, 5, 6, 9,11,13,16,17,18","7, 8,10,12,14,15,19,20",1800,1200,106.36,78.018,1693.64,1121.982,3000,2815.622,1407.811,12,8,"0,97,150,217,259,293,323,343.5,381.7,430.9,457.7,483.8,531.8","0,60,132.5,197.5,220.5,268.5,317.7,350.09,390.09"
1,7,1,8,"1, 2, 3, 4, 5, 6, 7, 9,10,11,13,16,17,18","8,12,14,15,19,20",2100,900,133.4,46.718,1966.6,853.282,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,352,419.1,478.7,516.9,566.1,592.9,619,667","0,24,47,95,144.2,176.59,233.59"
1,8,1,9,"1, 2, 3, 4, 5, 6, 7, 8,12,16,17,18","9,10,11,13,14,15,19,20",1800,1200,103.46,88.898,1696.54,1111.102,3000,2807.642,1403.821,12,8,"0,97,150,217,259,293,310,370,394,416.4,443.2,469.3,517.3","0,67.1,126.7,164.9,233.9,281.9,331.1,363.49,444.49"
1,9,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
1,10,1,11,"1, 4, 5, 9,13,16,17,18","11, 2, 3, 6, 7, 8,10,12,14,15,19,20",1200,1800,50.04,115.498,1149.96,1684.502,3000,2834.462,1417.231,8,12,"0,21,63,75,100.1,149.3,176.1,202.2,250.2","0,40,93,131,148,208,280.5,345.5,368.5,416.5,465.7,498.09,577.49"
