Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,1,1,2,"1, 4, 5, 9,10,11,13,16,17,18","2, 3, 6, 7, 8,12,14,15,19,20",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,53,91,108,168,192,215,263,312.2,344.59,402.59"
1,2,1,3,"1, 2, 6, 9,10,11,13,16,17,18","3, 4, 5, 7, 8,12,14,15,19,20",1500,1500,94.2,82.918,1405.8,1417.082,3000,2822.882,1411.441,10,10,"0,97,126,156,223.1,282.7,320.9,370.1,396.9,423,471","0,67,109,150,210,234,257,305,354.2,386.59,414.59"
1,3,1,4,"1, 2, 3, 6, 7, 8,12,14,15,19,20","4, 5, 9,10,11,13,16,17,18",1650,1350,104.118,71.6,1545.882,1278.4,3000,2824.282,1412.141,11,9,"0,97,150,188,205,265,289,312,360,409.2,441.59,520.59","0,42,54,121.1,180.7,218.9,268.1,294.9,321,358"
1,4,1,5,"1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,97,150,217,271,295,318,366,415.2,447.59,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
1,5,1,6,"1, 2, 3, 4, 5, 9,10,11,13,16,17,18","6, 7, 8,12,14,15,19,20",1800,1200,117.2,62.118,1682.8,1137.882,3000,2820.682,1410.341,12,8,"0,97,150,217,259,271,338.1,397.7,435.9,485.1,511.9,538,586","0,17,77,101,124,172,221.2,253.59,310.59"
1,6,1,7,"1, 2, 3, 4, 5, 6, 9,10,11,13,16,17,18","7, 8,12,14,15,19,20",1950,1050,127.6,55.318,1822.4,994.682,3000,2817.082,1408.541,13,7,"0,97,150,217,259,293,323,390.1,449.7,487.9,537.1,563.9,590,638","0,60,84,107,155,204.2,236.59,276.59"
1,7,1,8,"1, 2, 3, 4, 5, 6, 7, 9,11,13,16,17,18","8,10,12,14,15,19,20",1950,1050,112.16,69.418,1837.84,980.582,3000,2818.422,1409.211,13,7,"0,97,150,217,259,293,310,352,372.5,410.7,459.9,486.7,512.8,560.8","0,72.5,137.5,160.5,208.5,257.7,290.09,347.09"
1,8,1,9,"1, 2, 3, 4, 5, 6, 7, 8,12,14,15,19,20","9,10,11,13,16,17,18",1950,1050,125.118,57.2,1824.882,992.8,3000,2817.682,1408.841,13,7,"0,97,150,217,259,293,310,370,394,417,465,514.2,546.59,625.59","0,67.1,126.7,164.9,214.1,240.9,267,286"
1,9,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
1,10,1,11,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,12,14,15,19,20","11,13,16,17,18",2250,750,162.338,36,2087.662,714,3000,2801.662,1400.831,15,5,"0,97,150,217,259,293,310,370,448,515.1,580.1,603.1,651.1,700.3,732.69,811.69","0,38.2,87.4,114.2,140.3,180"
1,11,1,12,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,13,16,17,18","12,14,15,19,20",2250,750,152.6,42.318,2097.4,707.682,3000,2805.082,1402.541,15,5,"0,97,150,217,259,293,310,370,448,515.1,574.7,612.9,662.1,688.9,715,763","0,23,71,120.2,152.59,211.59"
1,12,1,13,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,14,15,19,20","13,16,17,18",2400,600,174.858,25.1,2225.142,574.9,3000,2800.042,1400.021,16,4,"0,97,150,217,259,293,310,370,448,515.1,574.7,642.7,665.7,713.7,762.9,795.29,874.29","0,49.2,76,102.1,125.5"
1,13,1,14,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,16,17,18","14,15,19,20",2400,600,172.88,34.318,2227.12,565.682,3000,2792.802,1396.401,16,4,"0,97,150,217,259,293,310,370,448,515.1,574.7,642.7,714.3,763.5,790.3,816.4,864.4","0,48,97.2,129.59,171.59"
1,14,1,15,"1, 4, 5, 9,10,11,13,16,17,18","15, 2, 3, 6, 7, 8,12,14,19,20",1500,1500,78,78.358,1422,1421.642,3000,2843.642,1421.821,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,75,128,166,183,243,267,290,342.4,374.79,391.79"
1,15,1,16,"1, 4, 5, 9,10,11,13,14,15,20","16, 2, 3, 6, 7, 8,12,17,18,19",1500,1500,90.586,99.36,1409.414,1400.64,3000,2810.054,1405.027,10,10,"0,21,63,75,142.1,201.7,239.9,308.9,356.9,373.93,452.93","0,72,125,163,180,240,264,308,334.1,421.1,496.8"
1,16,1,17,"1, 4, 5, 9,10,11,13,18","17, 2, 3, 6, 7, 8,12,14,15,16,19,20",1200,1800,62.26,112.298,1137.74,1687.702,3000,2825.442,1412.721,8,12,"0,21,63,75,142.1,201.7,239.9,263.3,311.3","0,49,102,140,157,217,241,264,312,386.8,462.5,494.89,561.49"
1,17,1,18,"1, 4, 5, 6, 7,10,12,14,15,20","18, 2, 3, 8, 9,11,13,16,17,19",1500,1500,74.606,105.96,1425.394,1394.04,3000,2819.434,1409.717,10,10,"0,21,63,97,114,141,206,229,277,294.03,373.03","0,74,127,169,247,267.5,305.7,354.9,381.7,442.8,529.8"
1,18,1,19,"1, 4, 5, 6, 7,10,12,14,15,20","19, 2, 3, 8, 9,11,13,16,17,18",1500,1500,74.606,90.16,1425.394,1409.84,3000,2835.234,1417.617,10,10,"0,21,63,97,114,141,206,229,277,294.03,373.03","0,30,83,125,203,223.5,261.7,310.9,337.7,363.8,450.8"
1,19,1,20,"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,273,321,370.2,402.59"
1,20,2,1,"2, 3, 6, 7, 8,12,14,15,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,80.518,78,1419.482,1422,3000,2841.482,1420.741,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
1,21,2,3,"2, 6, 7, 8,12,14,15,19,20","3, 1, 4, 5, 9,10,11,13,16,17,18",1350,1650,68.118,91.8,1281.882,1558.2,3000,2840.082,1420.041,9,11,"0,29,46,106,130,153,201,250.2,282.59,340.59","0,55,76,118,130,197.1,256.7,294.9,344.1,370.9,397,459"
1,22,2,4,"2, 3, 6, 7, 8,12,14,15,19,20","4, 1, 5, 9,10,11,13,16,17,18",1500,1500,80.518,77.2,1419.482,1422.8,3000,2842.282,1421.141,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,21,70,82,149.1,208.7,246.9,296.1,322.9,349,386"
1,23,2,5,"2, 3, 6, 7, 8,12,14,15,19,20","5, 1, 4, 9,10,11,13,16,17,18",1500,1500,80.518,80.6,1419.482,1419.4,3000,2838.882,1419.441,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,49,70,124,191.1,250.7,288.9,338.1,364.9,391,403"
1,24,2,6,"2, 3, 8, 9,11,13,14,15,19,20","6, 1, 4, 5, 7,10,12,16,17,18",1500,1500,97.658,77.46,1402.342,1422.54,3000,2824.882,1412.441,10,10,"0,53,95,173,193.5,231.7,300.7,348.7,397.9,430.29,488.29","0,70,91,133,174,201,266,288.4,315.2,341.3,387.3"
1,25,2,7,"2, 3, 8, 9,11,13,14,15,19,20","7, 1, 4, 5, 6,10,12,16,17,18",1500,1500,97.658,78.06,1402.342,1421.94,3000,2824.282,1412.141,10,10,"0,53,95,173,193.5,231.7,300.7,348.7,397.9,430.29,488.29","0,63,84,126,160,198,263,285.4,312.2,338.3,390.3"
1,26,2,8,"2, 3,10,12,14,15,19,20","8, 1, 4, 5, 6, 7, 9,11,13,16,17,18",1200,1800,71.958,84.36,1128.042,1715.64,3000,2843.682,1421.841,8,12,"0,53,84.2,149.2,172.2,220.2,269.4,301.79,359.79","0,33,54,96,130,147,189,209.5,247.7,296.9,323.7,349.8,421.8"
1,27,2,9,"2, 3, 8,12,14,15,19,20","9, 1, 4, 5, 6, 7,10,11,13,16,17,18",1200,1800,65.918,84.18,1134.082,1715.82,3000,2849.902,1424.951,8,12,"0,53,95,119,142,190,239.2,271.59,329.59","0,61,82,124,158,175,202,261.6,299.8,349,375.8,401.9,420.9"
1,28,2,10,"2, 3, 6, 7, 8,12,14,15,19,20","10, 1, 4, 5, 9,11,13,16,17,18",1500,1500,80.518,80.04,1419.482,1419.96,3000,2839.442,1419.721,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,85,106,148,160,180.5,218.7,267.9,294.7,320.8,400.2"
1,29,2,11,"2, 3, 8,12,14,15,19,20","11, 1, 4, 5, 6, 7, 9,10,13,16,17,18",1200,1800,65.918,106.98,1134.082,1693.02,3000,2827.102,1413.551,8,12,"0,53,95,119,142,190,239.2,271.59,329.59","0,78,99,141,175,192,234,301.1,393.1,442.3,469.1,495.2,534.9"
