Agent1_Starting_City,Agent1_Max_Benefit,Agent1_Min_Benefit,Agent1_Avg_Benefit,Agent1_Max_Payoff,Agent1_Min_Payoff,Agent1_Avg_Payoff,Agent1_Max_Payoff_Path,Agent2_Starting_City,Agent2_Max_Benefit,Agent2_Min_Benefit,Agent2_Avg_Benefit,Agent2_Max_Payoff,Agent2_Min_Payoff,Agent2_Avg_Payoff,Agent2_Max_Payoff_Path,Avg_Timestamp,Std_Timestamp
1,2100,1350,1642.5,1952.982,1266.34,1525.8146,"",5,1650,900,1357.5,1543.102,857.54,1291.4744,"",253.613409090909,174.334747926491
1,2250,1350,1995,2109.18,1277.594,1872.9454,"",10,1650,750,1005,1570.74,703.442,951.6168,"",277.587181818182,194.830639513344
1,2550,1200,1590,2367.66,1137.74,1507.993,"",15,1800,450,1410,1709.042,430.282,1329.611,"",229.790681818182,173.756849403976
1,1800,1050,1507.5,1707.84,1005.54,1433.355,"",20,1950,1200,1492.5,1826.302,1128.042,1405.203,"",207.505227272727,143.125206364871
5,1650,1200,1372.5,1543.102,1141.8,1307.5084,"",1,1800,1350,1627.5,1675.682,1266.34,1510.0386,"",251.134090909091,172.954571152494
5,2100,1050,1327.5,1966.84,1013.04,1268.5093,"5, 6, 7, 9,11,13,16,17,18",10,1950,900,1672.5,1819.242,851.242,1558.5567,"",265.712954545455,193.650330626145
5,1500,1200,1342.5,1425.6,1141.8,1282.825,"",15,1800,1500,1657.5,1681.242,1400.242,1541.328,"",263.600454545455,184.29861989077
5,1500,750,1305,1425.6,728.78,1245.41,"",20,2250,1500,1695,2080.282,1394.682,1572.272,"",270.557045454546,191.185946887783
10,1650,900,975,1569.442,851.242,922.3039,"",1,2100,1350,2025,1968.64,1293.24,1900.5927,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",281.757,195.264020808787
10,2250,900,1560,2096.542,851.242,1454.8177,"",5,2100,750,1440,1966.84,728.78,1370.5803,"",269.054772727273,195.177831662854
10,1800,450,930,1703.76,436.282,883.4677,"",15,2550,1200,2070,2363.3,1136.242,1929.2863,"15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,12,13,14,16,17,18",318.993636363636,242.251657653667
10,1500,750,1125,1429.16,710.96,1065.493,"",20,2250,1500,1875,2094.686,1402.342,1753.3822,"",272.839727272727,196.049231444073
15,1800,1200,1530,1709.042,1136.242,1444.459,"",1,1800,1200,1470,1705.8,1137.74,1397.85,"",209.767272727273,135.31227226942
15,1800,1500,1657.5,1687.642,1400.242,1543.277,"",5,1500,1200,1342.5,1425.6,1141.34,1281.061,"5, 6, 7, 9,10,11,13,16,17,18",263.498636363636,180.163387774164
15,2100,450,1740,1957.342,430.282,1627.33,"15,19,20",10,2550,900,1260,2365.62,852.54,1188.389,"",299.749318181818,219.278524251035
15,2100,1050,1395,1971.7,986.32,1311.636,"",20,1950,900,1605,1831.846,846.422,1508.1516,"",235.172818181818,148.672537007939
20,1800,1200,1507.5,1696.782,1134.082,1419.038,"",1,1800,1200,1492.5,1705.8,1137.74,1419.765,"",204.384090909091,136.896334942948
20,2100,1500,1710,1952.982,1394.682,1584.951,"",5,1500,900,1290,1425.6,857.54,1232.537,"",270.865909090909,192.836857580548
20,2250,1200,1927.5,2094.686,1135.794,1799.6384,"",10,1800,750,1072.5,1712.04,710.96,1016.043,"",288.3965,207.287396284331
20,1950,900,1530,1829.042,846.422,1437.1032,"",15,2100,1050,1470,1971.7,989.3,1382.559,"",231.955181818182,145.346378200502
