Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,1,1,2,"1, 4, 5, 9,10,11,13,16,17,18","2, 3, 6, 7, 8,12,14,15,19,20",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,53,91,108,168,192,215,263,312.2,344.59,402.59"
1,2,1,3,"1, 2, 6, 7, 9,10,11,13,16,17,18","3, 4, 5, 8,12,14,15,19,20",1650,1350,100,76.118,1550,1273.882,3000,2823.882,1411.941,11,9,"0,97,126,143,185,252.1,311.7,349.9,399.1,425.9,452,500","0,67,109,176,200,223,271,320.2,352.59,380.59"
1,3,1,4,"1, 2, 3, 6, 7, 8,12,14,15,19,20","4, 5, 9,10,11,13,16,17,18",1650,1350,104.118,71.6,1545.882,1278.4,3000,2824.282,1412.141,11,9,"0,97,150,188,205,265,289,312,360,409.2,441.59,520.59","0,42,54,121.1,180.7,218.9,268.1,294.9,321,358"
1,4,1,5,"1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,97,150,217,271,295,318,366,415.2,447.59,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
1,5,1,6,"1, 2, 3, 4, 5, 8,10,12,16,17,18","6, 7, 9,11,13,14,15,19,20",1650,1350,117.36,74.658,1532.64,1275.342,3000,2807.982,1403.991,11,9,"0,97,150,217,259,326,398.5,463.5,485.9,512.7,538.8,586.8","0,17,59,79.5,117.7,186.7,234.7,283.9,316.29,373.29"
1,6,1,7,"1, 2, 3, 4, 5, 6,10,12,14,15,19,20","7, 8, 9,11,13,16,17,18",1800,1200,125.518,70.16,1674.482,1129.84,3000,2804.322,1402.161,12,8,"0,97,150,217,259,293,331,396,419,467,516.2,548.59,627.59","0,60,138,158.5,196.7,245.9,272.7,298.8,350.8"
1,7,1,8,"1, 2, 3, 4, 5, 6, 7,10,12,16,17,18","8, 9,11,13,14,15,19,20",1800,1200,105.06,78.458,1694.94,1121.542,3000,2816.482,1408.241,12,8,"0,97,150,217,259,293,310,337,402,424.4,451.2,477.3,525.3","0,78,98.5,136.7,205.7,253.7,302.9,335.29,392.29"
1,8,1,9,"1, 2, 3, 4, 5, 6, 7, 8,12,14,15,19,20","9,10,11,13,16,17,18",1950,1050,125.118,57.2,1824.882,992.8,3000,2817.682,1408.841,13,7,"0,97,150,217,259,293,310,370,394,417,465,514.2,546.59,625.59","0,67.1,126.7,164.9,214.1,240.9,267,286"
1,9,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
1,10,1,11,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,12,14,15,19,20","11,13,16,17,18",2250,750,162.338,36,2087.662,714,3000,2801.662,1400.831,15,5,"0,97,150,217,259,293,310,370,448,515.1,580.1,603.1,651.1,700.3,732.69,811.69","0,38.2,87.4,114.2,140.3,180"
1,11,1,12,"1, 4, 5, 9,10,11,13,18","12, 2, 3, 6, 7, 8,14,15,16,17,19,20",1200,1800,62.26,117.618,1137.74,1682.382,3000,2820.122,1410.061,8,12,"0,21,63,75,142.1,201.7,239.9,263.3,311.3","0,80,133,171,188,248,286,334,408.8,435.6,496.7,529.09,588.09"
1,12,1,13,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,14,15,19,20","13,16,17,18",2400,600,174.858,25.1,2225.142,574.9,3000,2800.042,1400.021,16,4,"0,97,150,217,259,293,310,370,448,515.1,574.7,642.7,665.7,713.7,762.9,795.29,874.29","0,49.2,76,102.1,125.5"
1,13,1,14,"1, 4, 5, 9,10,11,13,16,17,18","14, 2, 3, 6, 7, 8,12,15,19,20",1500,1500,78,86.718,1422,1413.282,3000,2835.282,1417.641,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,310,359.2,391.59,433.59"
1,14,1,15,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,16,17,18","15,19,20",2550,450,182.34,19.718,2367.66,430.282,3000,2797.942,1398.971,17,3,"0,97,150,217,259,293,310,370,448,515.1,574.7,642.7,714.3,783.3,810.8,837.6,863.7,911.7","0,49.2,81.59,98.59"
1,15,1,16,"1, 4, 5, 6, 7,10,12,14,15,20","16, 2, 3, 8, 9,11,13,17,18,19",1500,1500,74.606,106.38,1425.394,1393.62,3000,2819.014,1409.507,10,10,"0,21,63,97,114,141,206,229,277,294.03,373.03","0,72,125,167,245,265.5,303.7,343.1,369.2,456.2,531.9"
1,16,1,17,"1, 4, 5, 6, 7,10,12,14,15,20","17, 2, 3, 8, 9,11,13,16,18,19",1500,1500,74.606,147.8,1425.394,1352.2,3000,2777.594,1388.797,10,10,"0,21,63,97,114,141,206,229,277,294.03,373.03","0,49,102,144,222,242.5,280.7,329.9,590.9,677.9,739"
1,17,1,18,"1, 4, 5, 6, 7,10,12,14,15,20","18, 2, 3, 8, 9,11,13,16,17,19",1500,1500,74.606,105.96,1425.394,1394.04,3000,2819.434,1409.717,10,10,"0,21,63,97,114,141,206,229,277,294.03,373.03","0,74,127,169,247,267.5,305.7,354.9,381.7,442.8,529.8"
1,18,1,19,"1, 4, 5, 9,11,13,16,17,18","19, 2, 3, 6, 7, 8,10,12,14,15,20",1350,1650,56.76,91.186,1293.24,1558.814,3000,2852.054,1426.027,9,11,"0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8","0,30,83,121,138,198,270.5,335.5,358.5,406.5,423.53,455.93"
1,19,1,20,"1, 4, 5, 6, 7,10,12,16,17,18","20, 2, 3, 8, 9,11,13,14,15,19",1500,1500,65.86,97.658,1434.14,1402.342,3000,2836.482,1418.241,10,10,"0,21,63,97,114,141,206,228.4,255.2,281.3,329.3","0,58,111,153,231,251.5,289.7,358.7,406.7,455.9,488.29"
1,20,2,1,"2, 3, 6, 7, 8,12,14,15,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,80.518,78,1419.482,1422,3000,2841.482,1420.741,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
1,21,2,3,"2, 6, 7, 8,10,11,13,14,15,19,20","3, 1, 4, 5, 9,12,16,17,18",1650,1350,106.578,64.46,1543.422,1285.54,3000,2828.962,1414.481,11,9,"0,29,46,106,178.5,238.1,276.3,345.3,393.3,442.5,474.89,532.89","0,55,76,118,130,185,207.4,234.2,260.3,322.3"
1,22,2,4,"2, 3, 6, 7, 8,12,14,15,19,20","4, 1, 5, 9,10,11,13,16,17,18",1500,1500,80.518,77.2,1419.482,1422.8,3000,2842.282,1421.141,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,21,70,82,149.1,208.7,246.9,296.1,322.9,349,386"
1,23,2,5,"2, 3, 8, 9,11,13,14,15,19,20","5, 1, 4, 6, 7,10,12,16,17,18",1500,1500,97.658,67.66,1402.342,1432.34,3000,2834.682,1417.341,10,10,"0,53,95,173,193.5,231.7,300.7,348.7,397.9,430.29,488.29","0,49,70,142,159,186,251,273.4,300.2,326.3,338.3"
1,24,2,6,"2, 3, 7, 8,12,16,17,18,19","6, 1, 4, 5, 9,10,11,13,14,15,20",1350,1650,70.06,100.186,1279.94,1549.814,3000,2829.754,1414.877,9,11,"0,53,74,134,158,180.4,207.2,233.3,320.3,350.3","0,70,91,133,145,212.1,271.7,309.9,378.9,426.9,443.93,500.93"
1,25,2,7,"2, 3, 8, 9,11,13,14,15,19,20","7, 1, 4, 5, 6,10,12,16,17,18",1500,1500,97.658,78.06,1402.342,1421.94,3000,2824.282,1412.141,10,10,"0,53,95,173,193.5,231.7,300.7,348.7,397.9,430.29,488.29","0,63,84,126,160,198,263,285.4,312.2,338.3,390.3"
1,26,2,8,"2, 3, 5, 6, 7,10,12,14,15,19,20","8, 1, 4, 9,11,13,16,17,18",1650,1350,91.518,68.16,1558.482,1281.84,3000,2840.322,1420.161,11,9,"0,53,104,138,155,182,247,270,318,367.2,399.59,457.59","0,33,54,108,128.5,166.7,215.9,242.7,268.8,340.8"
